302,135,66,81
302,139.5,66,81
298,142.5,66,81
298,145.5,66,81
300,148.5,66,81
304,148.5,66,81
304,147,66,81
306,147,66,81
306,147,66,81
308,148.5,66,81
308,148.5,66,81
312,147,66,81
318,144,66,81
326,138,66,81
330,132,66,81
332,129,66,81
330,127.5,66,81
330,127.5,66,81
332,126,66,81
338,121.5,66,81
344,117,66,81
352,112.5,66,81
358,109.5,66,81
364,111,66,81
370,115.5,66,81
378,123,66,81
382,126,66,81
384,121.5,66,81
370,106.5,66,81
356,93,66,81
346,87,66,81
342,84,66,81
338,84,66,81
336,87,66,81
346,93,66,81
358,105,66,81
372,118.5,66,81
390,139.5,66,81
358,129,66,81
374,114,66,81
366,103.5,66,81
364,102,66,81
360,91.5,66,81
362,93,66,81
362,90,66,81
370,100.5,66,81
374,114,66,81
380,135,66,81
388,145.5,66,81
394,154.5,66,81
396,114,66,81
388,129,66,81
370,109.5,66,81
360,118.5,66,81
372,120,66,81
372,124.5,66,81
366,133.5,66,81
366,144,66,81
364,181.5,66,81
354,190.5,66,81
354,190.5,66,81
332,160.5,66,81
324,129,66,81
284,111,66,81
278,88.5,66,81
288,82.5,66,81
262,91.5,66,81
262,103.5,66,81
302,135,66,81
332,160.5,66,81
308,177,66,81
316,195,66,81
314,195,66,81
292,180,66,81
286,142.5,66,81
256,132,66,81
248,102,66,81
248,93,66,81
244,94.5,66,81
246,126,66,81
256,136.5,66,81
242,157.5,66,81
254,174,66,81
240,187.5,66,81
284,178.5,66,81
272,193.5,66,81
274,186,66,81
252,172.5,66,81
254,172.5,66,81
238,193.5,66,81
238,171,66,81
238,192,66,81
280,193.5,66,81
338,204,66,81
326,160.5,66,81
314,150,66,81
284,139.5,66,81
292,144,66,81
310,159,66,81
356,183,66,81
406,159,66,81
368,142.5,66,81
374,166.5,66,81
400,178.5,66,81
400,210,66,81
392,187.5,66,81
344,169.5,66,81
368,151.5,66,81
318,151.5,66,81
328,154.5,66,81
308,133.5,66,81
314,138,66,81
304,159,66,81
258,136.5,66,81
310,142.5,66,81
292,102,66,81
322,127.5,66,81
296,147,66,81
322,154.5,66,81
320,135,66,81
284,105,66,81
262,111,66,81
296,105,66,81
302,67.5,66,81
306,88.5,66,81
308,73.5,66,81
310,69,66,81
316,76.5,66,81
304,111,66,81
266,111,66,81
228,76.5,66,81
230,55.5,66,81
232,25.5,66,81
234,28.5,66,81
234,27,66,81
224,45,66,81
220,88.5,66,81
220,121.5,66,81
230,154.5,66,81
238,165,66,81
234,169.5,66,81
232,174,66,81
208,150,66,81
218,114,66,81
214,117,66,81
202,100.5,66,81
190,130.5,66,81
198,105,66,81
188,79.5,66,81
172,114,66,81
146,96,66,81
164,127.5,66,81
158,129,66,81
140,121.5,66,81
104,118.5,66,81
80,109.5,66,81
96,103.5,66,81
140,87,66,81
118,66,66,81
128,30,66,81
82,33,66,81
98,40.5,66,81
114,70.5,66,81
84,84,66,81
30,82.5,66,81
0,106.5,66,81
0,105,66,81
0,141,66,81
2,141,66,81
0,148.5,66,81
0,117,66,81
0,115.5,66,81
0,142.5,66,81
8,139.5,66,81
0,118.5,66,81
0,103.5,66,81
0,142.5,66,81
38,154.5,66,81
42,145.5,66,81
0,120,66,81
0,159,66,81
0,151.5,66,81
2,114,66,81
0,127.5,66,81
0,97.5,66,81
0,142.5,66,81
0,156,66,81
0,121.5,66,81
0,163.5,66,81
0,199.5,66,81
0,192,66,81
2,222,66,81
0,181.5,66,81
50,174,66,81
0,193.5,66,81
2,180,66,81
2,135,66,81
0,136.5,66,81
0,180,66,81
46,168,66,81
88,184.5,66,81
84,174,66,81
42,142.5,66,81
80,175.5,66,81
34,160.5,66,81
0,124.5,66,81
0,111,66,81
2,112.5,66,81
32,127.5,66,81
44,171,66,81
0,184.5,66,81
0,187.5,66,81
2,198,66,81
0,198,66,81
48,225,66,81
88,219,66,81
96,177,66,81
84,183,66,81
118,166.5,66,81
172,150,66,81
180,148.5,66,81
188,154.5,66,81
188,120,66,81
176,163.5,66,81
174,181.5,66,81
210,181.5,66,81
210,180,66,81
260,169.5,66,81
216,174,66,81
256,171,66,81
240,139.5,66,81
222,154.5,66,81
242,142.5,66,81
260,135,66,81
246,154.5,66,81
256,172.5,66,81
268,132,66,81
260,175.5,66,81
268,154.5,66,81
292,144,66,81
350,133.5,66,81
320,142.5,66,81
296,153,66,81
310,135,66,81
312,126,66,81
276,132,66,81
280,130.5,66,81
316,105,66,81
330,90,66,81
